id,hypers,f1_score
31,"{'adam_eps': 3.630377131332931e-05, 'adam_mom': 0.8385202845453381, 'adam_sqr_mom': 0.9616581066698937, 'adam_wd': 0.04930139385384165, 'arc_easymargin': 1, 'arcface_m': 0.439361240015991, 'arcface_s': 23.588779465120545, 'bert_path': './indobert-base-p2', 'droput_p': 0.4435371728664421, 'embs_dim': 768, 'experiment_id': 31, 'label_smooth': 0.16208941259491336, 'lr': 0.009282033772586816, 'lr_mult': 78.0, 'tokens_max_length': 70, 'train_epochs': 12, 'train_freeze_epochs': 3, 'use_argmargin': 1}",0.8132194897861209
32,"{'adam_eps': 8.28023741597948e-05, 'adam_mom': 0.9178002289072383, 'adam_sqr_mom': 0.9668191633294119, 'adam_wd': 0.019433976998876668, 'arc_easymargin': 1, 'arcface_m': 0.6791140534322618, 'arcface_s': 13.142634430644504, 'bert_path': './indobert-base-p2', 'droput_p': 0.30212741512678526, 'embs_dim': 768, 'experiment_id': 32, 'label_smooth': 0.1643674967432958, 'lr': 0.003795951356922315, 'lr_mult': 82.0, 'tokens_max_length': 24, 'train_epochs': 12, 'train_freeze_epochs': 1, 'use_argmargin': 0}",0.7905521462403919
33,"{'adam_eps': 3.4703344588078567e-06, 'adam_mom': 0.8868365968521195, 'adam_sqr_mom': 0.9699231008759097, 'adam_wd': 0.03904930448185506, 'arc_easymargin': 0, 'arcface_m': 0.5364558541029439, 'arcface_s': 39.703389746037416, 'bert_path': './indobert-base-p2', 'droput_p': 0.11190504121835512, 'embs_dim': 768, 'experiment_id': 33, 'label_smooth': 0.13775905439016162, 'lr': 0.005839604846054906, 'lr_mult': 55.0, 'tokens_max_length': 58, 'train_epochs': 12, 'train_freeze_epochs': 1, 'use_argmargin': 0}",0.8134103392952109
34,"{'adam_eps': 6.625679343407202e-05, 'adam_mom': 0.9436210324997534, 'adam_sqr_mom': 0.9701557263786463, 'adam_wd': 0.03763135625929588, 'arc_easymargin': 1, 'arcface_m': 0.5038849122014519, 'arcface_s': 20.51574368675338, 'bert_path': './indobert-base-p2', 'droput_p': 0.5278309094079635, 'embs_dim': 768, 'experiment_id': 34, 'label_smooth': 0.12306584330922594, 'lr': 0.007022493510365117, 'lr_mult': 62.0, 'tokens_max_length': 80, 'train_epochs': 12, 'train_freeze_epochs': 1, 'use_argmargin': 1}",0.8073725774666657
35,"{'adam_eps': 1.482887318038291e-05, 'adam_mom': 0.8682659616928994, 'adam_sqr_mom': 0.9668028665421933, 'adam_wd': 0.048064306929967625, 'arc_easymargin': 0, 'arcface_m': 0.16128904555267615, 'arcface_s': 11.813418121719174, 'bert_path': './indobert-base-p2', 'droput_p': 0.12705785380375018, 'embs_dim': 768, 'experiment_id': 35, 'label_smooth': 0.07604179958827911, 'lr': 0.008311894435638867, 'lr_mult': 83.0, 'tokens_max_length': 21, 'train_epochs': 12, 'train_freeze_epochs': 1, 'use_argmargin': 1}",0.8011118434830056
36,"{'adam_eps': 9.751807573267326e-05, 'adam_mom': 0.8825305031073707, 'adam_sqr_mom': 0.9610639827354931, 'adam_wd': 0.0463341521546876, 'arc_easymargin': 0, 'arcface_m': 0.2880850115114332, 'arcface_s': 42.2963168112761, 'bert_path': './indobert-base-p2', 'droput_p': 0.17031771187782066, 'embs_dim': 768, 'experiment_id': 36, 'label_smooth': 0.01570419146538873, 'lr': 0.004001512202267932, 'lr_mult': 78.0, 'tokens_max_length': 50, 'train_epochs': 12, 'train_freeze_epochs': 1, 'use_argmargin': 0}",0.806827381971864
37,"{'adam_eps': 4.018702904762738e-05, 'adam_mom': 0.9372544884545608, 'adam_sqr_mom': 0.9530047843330737, 'adam_wd': 0.030201849151961006, 'arc_easymargin': 0, 'arcface_m': 0.5786539745819599, 'arcface_s': 41.39877955805221, 'bert_path': './indobert-base-p2', 'droput_p': 0.5067599723779638, 'embs_dim': 768, 'experiment_id': 37, 'label_smooth': 0.03309925975801047, 'lr': 0.003182202244904327, 'lr_mult': 30.0, 'tokens_max_length': 24, 'train_epochs': 12, 'train_freeze_epochs': 2, 'use_argmargin': 1}",0.7258091658991103
38,"{'adam_eps': 8.739807922600577e-05, 'adam_mom': 0.8055222961340457, 'adam_sqr_mom': 0.9602266180097384, 'adam_wd': 0.0311416047616102, 'arc_easymargin': 0, 'arcface_m': 0.43695447162838386, 'arcface_s': 27.97417544955982, 'bert_path': './indobert-base-p2', 'droput_p': 0.3890647516577741, 'embs_dim': 768, 'experiment_id': 38, 'label_smooth': 0.0531846133466404, 'lr': 0.00882892899256105, 'lr_mult': 51.0, 'tokens_max_length': 27, 'train_epochs': 12, 'train_freeze_epochs': 2, 'use_argmargin': 0}",0.806560202322179
39,"{'adam_eps': 7.299520195743686e-05, 'adam_mom': 0.9102849189781349, 'adam_sqr_mom': 0.9671149036667412, 'adam_wd': 0.01051166685290638, 'arc_easymargin': 0, 'arcface_m': 0.38285192114275124, 'arcface_s': 36.9131802700111, 'bert_path': './indobert-base-p2', 'droput_p': 0.37104734555848395, 'embs_dim': 768, 'experiment_id': 39, 'label_smooth': 0.1539227194802789, 'lr': 0.007991578923745218, 'lr_mult': 26.0, 'tokens_max_length': 20, 'train_epochs': 12, 'train_freeze_epochs': 3, 'use_argmargin': 0}",0.8069130318297414
40,"{'adam_eps': 8.020839585076413e-05, 'adam_mom': 0.8279077299036212, 'adam_sqr_mom': 0.9818311293583967, 'adam_wd': 0.023219928057701535, 'arc_easymargin': 0, 'arcface_m': 0.3420760450883548, 'arcface_s': 19.328116543135046, 'bert_path': './indobert-base-p2', 'droput_p': 0.4437834873247114, 'embs_dim': 768, 'experiment_id': 40, 'label_smooth': 0.03840030002680444, 'lr': 0.006163681509793426, 'lr_mult': 27.0, 'tokens_max_length': 29, 'train_epochs': 12, 'train_freeze_epochs': 3, 'use_argmargin': 1}",0.8088471600721564
